title,company,location,url,deadline,date_posted,match_score,score_notes,score_breakdown
Representative for Ethiopia,Lutheran World Federation,Ethiopia,https://reliefweb.int/node/4201015,2026-03-17,2026-03-04,40,Representative role partially matches senior positions. Ethiopia location not in target.,"{""role"":15,""sector"":15,""location"":0,""seniority"":10}"
Program Quality Director – Syria,Relief International,Syrian Arab Republic,https://reliefweb.int/node/4201011,2026-03-17,2026-03-04,65,Program Quality Director strongly matches Program Manager target role. Health/protection sector partial match. Above threshold despite Syria location.,"{""role"":35,""sector"":20,""location"":0,""seniority"":10}"
APPEL A MANIFESTATION D'INTERET : Consultation pour appui à la redéfinition du modèle socio-économique de MdM-France,Médecins du Monde,France,https://reliefweb.int/node/4200713,2026-03-19,2026-03-02,20,Consultancy role for socio-economic model does not match target roles. France location is a plus.,"{""role"":0,""sector"":5,""location"":10,""seniority"":5}"
"Senior Officer, Award Management Business Partnering",Save the Children,United Kingdom of Great Britain and Northern Ireland,https://reliefweb.int/node/4201180,2026-03-17,2026-03-04,60,Award Management role closely aligns with Grants Manager target. UK location in target. Above threshold.,"{""role"":25,""sector"":15,""location"":10,""seniority"":10}"
Finance Officer for Ukraine,Kvinna Till Kvinna,Ukraine,https://reliefweb.int/node/4203271,2026-03-19,2026-03-17,26,Finance role does not match target roles. Gender/women rights sector partial match. Ukraine location not in target list.,"{""role"":0,""sector"":15,""location"":3,""seniority"":8}"
Social Protection and Livelihood Programme Manager (Nationals only),Solidarités International,Nigeria,https://reliefweb.int/node/4202982,2026-03-18,2026-03-16,55,Program Manager role matches target. Sector focus on protection/livelihoods not directly relevant to HIV/TB/harm reduction. Nigeria location not in target.,"{""role"":30,""sector"":15,""location"":0,""seniority"":10}"
"Senior Program Officer, HIV Delivery (12-month LTE*)",Bill & Melinda Gates Foundation,2 Locations,https://gatesfoundation.wd1.myworkdayjobs.com/Gates/job/Seattle-WA/Senior-Program-Officer--HIV-Delivery--12-month-LTE--_B021474-1,,2026-03-21,0,"Dealbreaker: location not in target locations (Remote, Switzerland, EU, UK). Strong HIV programme role at Gates Foundation.","{""role_relevance"": 80, ""sector_match"": 100, ""location"": 0, ""seniority"": 100}"
"Senior Strategy Officer, Division Communications",Bill & Melinda Gates Foundation,"Seattle, WA",https://gatesfoundation.wd1.myworkdayjobs.com/Gates/job/Seattle-WA/Senior-Strategy-Officer--Division-Communications--9-mon-LTE-_B021401-1,,2026-03-21,0,"Dealbreaker: location (Seattle, WA) not in target locations. Role is communications-focused, not programme.","{""role_relevance"": 40, ""sector_match"": 50, ""location"": 0, ""seniority"": 100}"
"Senior Officer, Strategy & Implementation Management (11 month LTE)",Bill & Melinda Gates Foundation,"Seattle, WA",https://gatesfoundation.wd1.myworkdayjobs.com/Gates/job/Seattle-WA/Senior-Officer--Strategy---Implementation-Management--11-month-LTE-_B021473-1,,2026-03-21,0,"Dealbreaker: location (Seattle, WA) not in target locations. Role is implementation-focused, not programme.","{""role_relevance"": 40, ""sector_match"": 50, ""location"": 0, ""seniority"": 80}"
"Deputy Director, AI Delivery & Government Partnerships-Africa",Bill & Melinda Gates Foundation,"Nairobi, Kenya",https://gatesfoundation.wd1.myworkdayjobs.com/Gates/job/Nairobi-Kenya/Deputy-Deputy-Director--AI-Delivery---Government-Partnerships-Africa_B021471-2,,2026-03-21,0,"Dealbreaker: location (Nairobi, Kenya) not in target locations (Europe/Remote). AI delivery role tangential to programme focus.","{""role_relevance"": 40, ""sector_match"": 25, ""location"": 0, ""seniority"": 100}"
Chargé de projet médical Kabo (F/H) - République Centrafricaine,Médecins du Monde,Central African Republic,https://reliefweb.int/node/4203863,2026-06-19,2026-03-20,0,"Dealbreaker: location (Central African Republic) not in target locations (Remote, Switzerland, EU, Armenia, Portugal, Eastern Europe, Central Asia, UK).","{""role_relevance"": 60, ""sector_match"": 50, ""location"": 0, ""seniority"": 60}"
"Monitoring, Evaluation, and Learning (MEL) Officer",FHI 360,Guatemala-Remote,https://fhi.wd1.myworkdayjobs.com/FHI_360_External_Career_Portal/job/Guatemala-Remote/Monitoring--Evaluation--and-Learning--MEL--Officer_Requisition-2026200472,,2026-03-21,0,"Dealbreaker: location (Guatemala) not in target locations (Europe, Remote, etc.). MEL role tangential to programme focus.","{""role_relevance"": 60, ""sector_match"": 50, ""location"": 0, ""seniority"": 60}"
Laboratory and Diagnostic Officer,FHI 360,Guatemala-Remote,https://fhi.wd1.myworkdayjobs.com/FHI_360_External_Career_Portal/job/Guatemala-Remote/Laboratory-and-Diagnostic-Officer_Requisition-2026200470,,2026-03-21,0,Dealbreaker: location (Guatemala) not in target locations. Lab/diagnostic role not in target roles.,"{""role_relevance"": 20, ""sector_match"": 50, ""location"": 0, ""seniority"": 60}"
Outbreak Response Specialist,FHI 360,Guatemala-Remote,https://fhi.wd1.myworkdayjobs.com/FHI_360_External_Career_Portal/job/Guatemala-Remote/Outbreak-Response-Specialist_Requisition-2026200469,,2026-03-21,0,"Dealbreaker: location (Guatemala) not in target locations. Outbreak response is general health, not HIV/TB/harm reduction.","{""role_relevance"": 40, ""sector_match"": 25, ""location"": 0, ""seniority"": 80}"
"Associate Director, Finance",FHI 360,"Kyiv, Ukraine",https://fhi.wd1.myworkdayjobs.com/FHI_360_External_Career_Portal/job/Kyiv-Ukraine/Associate-Director--Finance_Requisition-2026200471,,2026-03-21,0,"Dealbreaker: finance role not in target roles. Location (Kyiv, Ukraine) not in target locations.","{""role_relevance"": 20, ""sector_match"": 50, ""location"": 0, ""seniority"": 100}"
Finance manager,FHI 360,"Dakar, Senegal",https://fhi.wd1.myworkdayjobs.com/FHI_360_External_Career_Portal/job/Dakar-Senegal/Finance-manager_Requisition-2026200467,,2026-03-21,0,"Dealbreaker: finance role not in target roles. Location (Dakar, Senegal) not in target locations.","{""role_relevance"": 20, ""sector_match"": 50, ""location"": 0, ""seniority"": 60}"
